,Title,Author_First,Author_Last,Num_Checkouts
0,sonic the hedgehog, ian,flynn,235
1,babysitters little sister, katy,farina,163
2,if you give a pig a pancake, laura joffe,numeroff,119
3,beastars, paru,itagaki,114
4,if you give a dog a donut, laura joffe,numeroff,112
5,fruits basket, natsuki,takaya,98
6,the complete chis sweet home, kanata,konami,79
7,dog man and cat kid, dav,pilkey,74
8,tokyo ghoul re, sui,ishida,72
9,the legend of zelda, akira,himekawa,70
10,cat kid comic club, dav,pilkey,70
11,dog man  fetch22, dav,pilkey,69
12,disney frozen, art,mawhinney,68
13,owly, andy,runton,68
14,where the crawdads sing, delia,owens,66
15,princess jellyfish, akiko,higashimura,62
16,pokémon adventures, hidenori,kusaka,62
17,dog man, dav,pilkey,62
18,dog man unleashed, dav,pilkey,61
19,dog man lord of the fleas, dav,pilkey,61
20,llama llama loves to read, anna,dewdney,60
21,drama, raina,telgemeier,60
22,pete the cat and the cool cat boogie, kim,dean,59
23,llama llama time to share, anna,dewdney,58
24,the four winds, kristin,hannah,58
25,chug chug tractor  the best tractor book ever, dawn,sirett,58
26,clifford visits the hospital, norman,bridwell,57
27,llama llama home with mama, anna,dewdney,56
28,llama llama mad at mama, anna,dewdney,55
29,llama llama gram and grandpa, anna,dewdney,55
30,if you give a mouse a brownie, laura joffe,numeroff,55
31,kristys great idea  a graphic novel, raina,telgemeier,55
32,pete the cat construction destruction, james,dean,54
33,shark lady  the true story of how eugenie clark became the oceans most fearless scientist, jess,keating,54
34,if you give a cat a cupcake, laura joffe,numeroff,53
35,the last kids on earth, max,brallier,53
36,llama llama misses mama, anna,dewdney,53
37,logan likes mary anne  a graphic novel, gale,galligan,53
38,the dragonet prophecy graphic novel, tui,sutherland,53
39,guts, raina,telgemeier,52
40,dog man  a tale of two kitties, dav,pilkey,52
41,twins, varian,johnson,52
42,if you give a moose a muffin, laura joffe,numeroff,52
43,pete the cat  big easter adventure, kim,dean,51
44,ghosts, raina,telgemeier,51
45,the berenstain bears and the messy room, stan,berenstain,51
46,a place for pluto, stef,wade,51
47,the berenstain bears visit the dentist, stan,berenstain,51
48,dog man  mothering heights, dav,pilkey,51
49,dog man  brawl of the wild, dav,pilkey,51
50,go dog go, p d,eastman,50
51,the babysitters club, gabriela,epstein,49
52,clifford the firehouse dog, norman,bridwell,49
53,if you give a pig a party, laura joffe,numeroff,49
54,cliffords first day of school and another clifford story, norman,bridwell,49
55,the berenstain bears and too much junk food, stan,berenstain,49
56,the berenstain bears and the mansion mystery, stan,berenstain,49
57,the berenstain bears go to the doctor, stan  jan,berenstain,49
58,pete the cat out of this world, james,dean,49
59,arthurs underwear, marc tolon,brown,49
60,the berenstain bears and the trouble with friends, stan,berenstain,49
61,cliffords first snow day, norman,bridwell,48
62,the berenstain bears and the greeneyed monster, stan,berenstain,48
63,pete the cats groovy guide to love, kim,dean,48
64,the berenstain bears forget their manners,stan  jan,berenstain,48
65,put me in the zoo, robert,lopshire,48
66,pete the cat five little pumpkins, james,dean,47
67,the berenstain bears and too much birthday, stan,berenstain,47
68,the berenstain bears on the moon, stan,berenstain,47
69,peppa and the muddy moon puddles,,phoenix international,47
70,how to catch a dinosaur, adam,wallace,47
71,clifford the small red puppy, norman,bridwell,47
72,clifford and the grouchy neighbors, norman,bridwell,46
73,the berenstain bears bedtime story, stan,berenstain,46
74,the berenstain bears get their kicks, stan,berenstain,46
75,pete the cat and the bedtime blues, kim,dean,46
76,going to the sea park, mercer,mayer,46
77,cliffords spring cleanup, norman,bridwell,45
78,cliffords birthday party, norman,bridwell,45
79,too many unicorns, jenny,copper,45
80,a puppy to love, bob,barkly,45
81,boycrazy stacey  a graphic novel, gale,galligan,45
82,the berenstain bears and the missing dinosaur bone, stan,berenstain,45
83,the truth about stacey, raina,telgemeier,45
84,diary of a wimpy kid  rodrick rules, jeff,kinney,45
85,franklin and harriet, paulette,bourgeois,45
86,how to catch a dragon, adam,wallace,45
87,cliffords happy easter, norman,bridwell,44
88,meg jo beth and amy  a graphic novel, rey,terciero,44
89,wings of fire  the hidden kingdom  the graphic novel, tui,sutherland,44
90,the sentinel, lee,child,44
91,the very quiet cricket, eric,carle,44
92,the good egg, jory,john,43
93,pete the cat and the treasure map, james,dean,43
94,the berenstain bears in the dark, stan  jan,berenstain,43
95,the couch potato, jory,john,43
96,hideandseek baby shark  doo doo doo doo doo doo, john john,bajet,43
97,click, kayla,miller,43
98,dog man  grime and punishment, dav,pilkey,42
99,peekaflap who, jaye,garnett,42
100,mary anne saves the day, ann m,martin,42
101,harry potter and the sorcerers stone, jk,rowling,42
102,sisters, raina,telgemeier,42
103,fancy nancy and the sensational babysitter, jane,oconnor,42
104,diary of a wimpy kid  greg heffleys journal, jeff,kinney,42
105,teachers pets, liz,mills,42
106,count on clifford, norman,bridwell,42
107,smile, raina,telgemeier,41
108,katie the catsitter, colleen a f,venable,41
109,clifford goes to hollywood, norman,bridwell,41
110,halloween howl, gail,herman,41
111,arthurs family vacation, marc tolon,brown,41
112,the berenstain bears and the slumber party, stan  jan,berenstain,41
113,the pigeon wants a puppy, mo,willems,41
114,camp, kayla,miller,41
115,clifford goes to washington, norman,bridwell,41
116,wacky wednesday, theo,lesieg,41
117,waiting is not easy, mo,willems,41
118,if you take a mouse to school, laura joffe,numeroff,41
119,if you take a mouse to the movies, laura joffe,numeroff,40
120,franklin goes to the hospital, paulette,bourgeois,40
121,the itchy book, leuyen,pham,40
122,pete the cat  i love my white shoes, eric,litwin,40
123,claudia and mean janine  a graphic novel, raina,telgemeier,40
124,rainbow fish to the rescue, marcus,pfister,40
125,5minute pete the cat stories, james,dean,40
126,the grouchy ladybug, eric,carle,40
127,dont let the pigeon stay up late, mo,willems,40
128,the big honey hunt, stan,berenstain,40
129,curious george and the ice cream surprise, monica,perez,39
130,dinosaurs in love, fenn,rosenthal,39
131,spaghetti in a hot dog bun  having the courage to be who you are, maria,dismondy,39
132,pinkalicious, victoria,kann,39
