,title,author_last,author_first
0,of mice and men,steinbeck, john
1,the unforgotten a novel,powell, laura
2,star wars the clone wars ,hibbert, clare
3,star wars the clone wars ,beecroft, simon 
4,wow the pop up book of sports,foster, bruce 
5,iguanodon,olshevsky, george
6,dinosaurs and prehistoric animals,wellfare, graham
7,the workhouse girl,stirling, jessica
8,kitten s first full moon,henkes, kevin
9,the berenstain bears and the missing dinosaur bone,berenstain, stan
10,the three little pigs,galdone, paul 
11,vital signs ,cook, robin
12,dear zoo,campbell, rod
13,if you give a mouse a cookie,numeroff, laura joffe 
14,haunted halloween,krones, c a 
15,the story of jonah,davidson, alice joyce 
16,stories from the bible,woolf, alex
17,star wars absolutely everything you need to know,bray, adam
18,lego dc comics super heroes the awesome guide,scott, cavan
19,the one hundred and one dalmatians,disney, walt
20,the stowaway,murray, james s 
21,the guardians,grisham, john
22,miracle,steel, danielle
23,rogue,steel, danielle 
24,diamond in the rough,turano, jen
25,an irish hostage,todd, charles
26,the shade of my own tree,williams, sheila
27,the hidden wrath,phillips, stella 
28,the trustworthy one,gray, shelley shepard
29,disclosure a novel,crichton, michael
30, mater biscuit,cannon, julie
31,bringing maggie home,sawyer, kim vogel 
32,watchers on the hill,whitson, stephanie grace 
33,hill women finding family and a way forward in the appalachian mountains,chambers, cassie
34,if you give a dog a donut,numeroff, laura joffe 
35,someone to cherish,balogh, mary
36,the why of things a novel,winthrop, elizabeth hartley
37,garfield the easter bunny ,kraft, jim
38,come back to me,hedlund, jody
39,the general s notorious widow,bly, stephen a 
40,family ties a novel ,steel, danielle 
41,the pursuit,lindsey, johanna 
42,the oath,lescroart, john t 
43,the healing jar,brunstetter, wanda e 
44,the impossible lives of greta wells,greer, andrew sean 
45,where they found her,mccreight, kimberly
46,elevation,king, stephen
47,turning point a novel,steel, danielle
48,hop books ,saltzberg, barney
49,the bridge to belle island,klassen, julie
50,sunshine and shadow,fowler, earlene 
51,delectable mountains,fowler, earlene 
52,broken dishes,fowler, earlene 
53,family pictures,green, jane
54,little night,rice, luanne 
55,one summer,baldacci, david 
56,how it happened,koryta, michael
57,total power,mills, kyle
58,the lies that bind,giffin, emily
59,the answer is reflections on my life,trebek, alex
60,the golden child,adam, claire
61,return from siberia ,shallman, john
62,the cold vanish seeking the missing in north america s wildlands,billman, jon
63,hillbilly elegy a memoir of a family and culture in crisis,vance, j d 
64,the last days of john lennon,patterson, james
65,daylight,baldacci, david
66,fix it with food more than recipes to address autoimmune issues and inflammation,symon, michael
67,all the ways we said goodbye a novel of the ritz paris,williams, beatriz
68,the power couple,berenson, alex
69,the order,silva, daniel
70,greenlights,mcconaughey, matthew 
71,as night falls,milchman, jenny 
72,doesn t hurt to ask using the power of questions to communicate connect and persuade,gowdy, trey
73,eternal,scottoline, lisa
74,the happy in a hurry cookbook plus fast and easy new recipes that taste like home,doocy, steve
75,her one mistake,perks, heidi
76,countdown the extraordinary story of the atomic bomb and the days that changed the world,wallace, chris
77,the bounty,evanovich, janet
78,the calcium connection,broady, brunde
79,a gentleman in moscow,towles, amor
80,choppy water,woods, stuart
81,outsider,castillo, linda
82,the orphan s tale,jenoff, pam
83,a gathering of secrets,castillo, linda
84,the night agent a novel,quirk, matthew 
85,the last story of mina lee,kim, nancy jooyoun
86,night of miracles,berg, elizabeth
87,the law of innocence,connelly, michael
88,the painted castle a lost castle novel,cambron, kristy
89,the sea gate,johnson, jane
90,win,coben, harlan
91,an echo of murder,perry, anne
92,the lost girls of paris,jenoff, pam
93,we were the lucky ones,hunter, georgia
94,a dangerous man,crais, robert
95,hush hush,woods, stuart
96,the wartime sisters,loigman, lynda cohen
97,the president s daughter,clinton, bill
98,the healing slow cooker lower stress improve gut health decrease inflammation,iserloh, jennifer 
99,saucer savage planet,coonts, stephen
100,covert warriors,griffin, w e b 
101,the light years,greene, r w w 
102,we were beautiful,hepler, heather
103,what my sister knew,laurin, nina
104,a thousand ships,haynes, natalie
105,diabetes cookbook meal plan for the newly diagnosed,zanini, lori
106,game on tempting twenty eight,evanovich, janet
107,outfox,brown, sandra
108,mirror image,brown, sandra
109,shakeup,woods, stuart
110,under the whispering door,klune, tj
111,go tell the bees that i am gone,gabaldon, diana
112,the bone code,reichs, kathy
113,the luminaries a novel,catton, eleanor 
114,the maid,prose, nita
115,the comfortable kitchen laid back healthy and wholesome recipes ,snodgrass, alex 
116,viral,cook, robin
117,robert b parker s stone s throw,lupica, mike
118,abandoned in death,robb, j d 
119,the wrong mother,hannah, sophie
120,the last tudor,gregory, philippa
121,reconstructing amelia a novel,mccreight, kimberly
122,the diamond eye,quinn, kate
123,the nowhere child,white, christian 
