Title,Media_Type,Author,Identity,Count
The  andalite chronicles,Book,"Applegate, Katherine.",590109715,1
The  Bourne betrayal,Book,"Lustbader, Eric",9780446580373 0446580376,1
!Estamos en un libro!,Book,"Willems, Mo,",9.78E+12,1
"A few acres of snow"" : the saga of the French and Indian wars""",Book,"Leckie, Robert.",0471246905 (acid-free paper) : 0471390208 (pbk.) :,1
"A Godly man? who can find one?""""",Book,"Mallory, Pat",1602660301,1
"And I was there"" : Pearl Harbor and Midway--breaking the secrets""",Book,"Layton, Edwin T.,",688048838,1
"C"" is for corpse : a Kinsey Millhone mystery""",Book,"Grafton, Sue.",805028188,1
"Civil war!"" : America becomes one nation""",Book,"Robertson, James I.",0394829964 0394929969 (lib. bdg.) 0679881115 (pbk.),1
"I'd love to kiss you-- "" : conversations with Bette Davis""",Book,"Stine, Whitney, 1930-",671611526,1
"Not on my porch!""""",Book,"Mallory, Pat",1594679819,1
"The president has been shot!"" : the assassination of John F. Kennedy""",Book,"Swanson, James L.,",9780545490078 0545490073,1
"Them"" :  Stalin's Polish puppets""",Book,"Toranska, Teresa.",60156570,1
"Then Steve said to Jerry-- "" : the best San Francisco 49ers stories ever told""",Book,"Silverman, Steve,",9781600780943 1600780946,1
"V"" is for Vengeance""",Book,"Grafton, Sue.",9.78E+12,1
The $64 tomato,Book,"Alexander, William",9781565125032 (hardcover),1
'Salem's Lot,Book,"King, Stephen,",0385007515 9780385007511 9780671039752 067103975X 9780307743671 0307743675 9780345806796 0345806794 0671039741 9780671039745 0606024344 9780606024341 0451139690 9780451139696 0451168089 9780451168085 9780965772419 0965772411,1
'Til death do us part,Book,"White, Kate, 1950-",446531758,1
'Til death do us part,Book,"Quick, Amanda,",9780399174469 (hardcover),1
'Tis : a memoir,Book,"McCourt, Frank.",0684864495 (lg. print)\0684848783,1
'Toons for our times : a Bloom County book of heavy meadow rump 'n roll,Book,"Breathed, Berke.",0316107093 (pbk.) :,1
... and now Miguel,Book,"Krumgold, Joseph, 1908-",,1
..if you lived in the Alaska Territory,Book,"Levinson, Nancy Smiler",590744496,1
.45-caliber manhunt,Book,"Brandvold, Peter.",0425208451 (pbk.) : 9780425208458,1
"1, 2, 3 to the zoo",Book,"Carle, Eric.",0399207724 039961172X (lib. bdg.) 039920847X (pbk.),1
"1, 2, 3 to the zoo.",Book,"Carle, Eric.",,1
"1,000 Books before kindergarten: a promise and a pledge",Book,"Borghese, Mark & Luh, Charlie H.",9.78E+12,1
"1,000 dollars and an idea : entrepreneur to billionaire",Book,"Wyly, Sam.",9781557048646 (alk. paper) :,1
"1,001 great housekeeping hints.",Book,"Keely, Jane.",0878510338 (pbk.)\087851032X,1
"1,001 prescription secrets for seniors : how to pay less for medicines, find natural alternatives, and avoid Rx ripoffs for every prescription.",Book,,9781932470642 (hbk.),1
"1,001 things everyone should know about American history",Book,"Garraty, John A.",385244320,1
"1,2,3 with Pooh",Book,"Case, Cassandra,",717288714,1
1-2-3 magic : effective discipline for children 2-12,Book,"Phelan, Thomas W.",1889140163,1
1/2 price living : secrets to living well on one income,Book,"Kay, Ellie.",0802434320 9780802434326,1
1st to die,Book,"Patterson, James",316666009,1
2 Becoming 1,Book,"Salem, Harry",924748729,1
2nd chance : a novel,Book,"Patterson, James, 1947-",316693200,1
"2x4 furniture : simple, inexpensive, & great-looking projects you can make",Book,"Henderson, Stevie,",0806902930 :,1
3 billy goats Gruff,Book,"Dewan, Ted.",0590205153 (pbk),1
"3 Complete T.A. Barron Novels: The lost years of Merlin, The Seven Songs of Merlin, The Fires of Merlin",Book,"Barron, T. A.",0399230181 (v. 1),1
3 Puzzles and Plus,Book,"David, Nelson",&#8206;978-1733374941,1
"3, 2, 1, liftoff!",Book,"Sander, Sonia.",9.78E+12,1
3:16 : the numbers of hope,Book,"Lucado, Max.",9780849901935 (hardcover) 0849901936 (hardcover) 9780849963933 (compact discs) 0849963931 (compact discs),1
3rd degree : a novel,Book,"Patterson, James, 1947-",316603570,1
"4 kids in  5-E, & 1 crazy year",Book,"Schwartz, Virginia Frances.",9.78E+12,1
4th of July : a novel,Book,"Patterson, James,",316710601,1
5 conversations you must have with your daughter,Book,"Courtney, Vicki.",9780805446661 (pbk.) 0805446664 (pbk.),1
5 essentials for a winning life,Book,"Carmichael, Chris",9781594864551 (hardcover) 1594864551 (hardcover),1
The 5 factor diet,Book,"Pasternak, Harley.",9.78E+12,1
5 lb. book of GRE© practice problems : GRE© strategy guide supplement.,Book,,9781941234518  1941234518,1
The 5 love languages : the secret to love that lasts,Book,"Chapman, Gary D.,",9780802473158 0802473156 9780802473622 0802473628,1
The 5 love languages of children,Book,"Chapman, Gary D.,",9.78E+12,1
5-minute Disney Pixar stories,Book,,9781423165200 1423165209,1
5-minute Marvel stories.,Book,,9781423167228 1423167228,1
5-minute Pete the Cat stories,Book,"Dean, James,",9.78E+12,1
5-minute Pete the Cat stories,Book,"Dean, James,",9780062470195 0062470191,1
5-minute Pinkalicious stories,Book,"Kann, Victoria,",9780062566973 0062566970,1
5-minute Star Wars hero stories,Book,,9781368022873 1368022871,1
5-minute Star Wars stories.,Book,,9781484728208 1484728203,1
The 5th Wave,Book,"Yancey, Richard.",9.78E+12,1
The 5th wave,Book,"Yancey, Richard,",0142425834 9780142425831,1
6 sticks,Book,"Coxe, Molly",0679986898\0679886893,1
"6,000 miles of fence; : life on the XIT Ranch of Texas,",Book,"Duke, Cordia Sloan,",,1
The 6:20 man,Book,"Baldacci, David,",9781538719848 1538719843,1
6th grade can really kill you.,Book,"DeClements, Barthe.",670806560,1
The 6th target,Book,"Patterson, James",0316014796 9780316014793,1
7 African-American scientists.,Book,"Hayden, Robert C.",805021345,1
7 Deadly Wonders,Book,"Reilly, Matthew.",743270533,1
The 7 habits of highly effective families : building a beautiful family culture in a turbulent world,Book,"Covey, Stephen R.",0307440087 (alk. paper),1
The 7 habits of highly effective teens : the ultimate teenage success guide,Book,"Covey, Sean.",9.78E+12,1
"7 Habits of Highly Effective Teens, The",Book,"Covey, Sean",0-684-85609-3,1
The 7 wonders of the world,Book,,0545054702 9780545054706,1
7th heaven,Book,"Patterson, James",9780316017701 0316017701,1
8 grams or less low-carb recipes.,Book,"Miller, Jan (editor)",9780696220906 0696220903 (sc),1
8 little planets,Book,"Ferrie, Chris,",9781492671244 149267124X,1
8 Sandpiper Way,Book,"Macomber, Debbie.",9780778325789 (pbk.) 0778325784 (pbk.),1
The 8th confession,Book,"Patterson, James,",9780316018760 0316018767,1
9 African-American inventors.,Book,"Hayden, Robert C.",805021337,1
9 from the Nine Worlds,Book,"Riordan, Rick,",9781368024044 1368024041,1
9 scorpions,Book,"Levine, Paul",0671019392 0671019406 (pbk.),1
The 9 steps to financial freedom,Book,"Orman, Suze.",0517707918 :,1
The 9/11 Commission report : final report of the National Commission on Terrorist Attacks upon the United States.,Book,National Commission on Terrorist Attacks upon the United States.,0393326713 (pbk.),1
The 9/11 terror attacks,Book,"Bodden, Valerie",9781583415498 1583415491,1
The 9th Girl,Book,"Hoag, Tami,",9.78E+12,1
The 9th judgment,Book,"Patterson, James,",9780316036276 0316036277,1
10 bad choices that ruin Black women's lives,Book,"Cornish, Gracie.",609801333,1
10 lb. penalty,Book,"Francis, Dick.",0399143025 (acid-free paper),1
10 little rubber ducks,Book,"Carle, Eric.",0007202423 9780007202423 9780062120038 0062120034,1
The 10 natural laws of successful time and life management : proven strategies for increased productivity and inner peace,Book,"Smith, Hyrum W.",446517410,1
"10,000 dreams interpreted : a dictionary of dreams",Book,"Miller, Gustavus Hindman,",1566196256  (casebound),1
10-20-30 minutes to quilt,Book,"Zieman, Nancy Luedtke.",0848723716 (pbk.)\0848723686,1
10th anniversary,Book,"Patterson, James,",9780316036269 (hbk.) 0316036269 (hbk.),1
11 African-American doctors,Book,"Hayden, Robert C.",805021353,1
11 birthdays,Book,"Mass, Wendy,",9.78E+12,1
11/22/63 : a novel,Book,"King, Stephen,",9781451627282 (hbk.) 1451627289 (hbk.),1
11th hour,Book,"Patterson, James,",9780316097499 0316097497,1
12th of never,Book,"Patterson, James,",9780316210829 031621082X,1
13 1/2,Book,"Barr, Nevada.",9781593155919 1593155913,1
13 days to glory: the siege of the Alamo,Book,"Tinkle, Lon",,1
13 gifts,Book,"Mass, Wendy,",9780545310031 (jacketed hardcover : alk. paper) 0545310032 (jacketed hardcover : alk. paper) 9780545384940 (pbk.) 054538494X,1
The 13 original clan mothers,Book,"Sams, Jamie, 1951-",0062507567\0062507591,1
The 13-story treehouse,Book,"Griffiths, Andy,",9781250070654  1250070651,1
The 13th floor :  a ghost story,Book,"Fleischman, Sid, 1920-",0688142168 (lib. bdg.),1
The 13th juror,Book,"Lescroart, John T.",1556114028,1
The 14th colony,Book,"Berry, Steve,",1250058457 9781250058454,1
14th deadly sin,Book,"Patterson, James,",9780316407021 031640702X,1
The 15 invaluable laws of growth : live them and reach your potential,Book,"Maxwell, John C.,",9781599953663 (hardcover) 9781455522859 (large print),1
"The 15:17 to Paris : the true story of a terrorist, a train, and three American heroes",Book,"Sadler, Anthony,",9781610397339 9781610398190 (Trade Paper),1
15th affair,Book,"Patterson, James,",9.78E+12,1
16th seduction,Book,"Patterson, James,",9780316274036 0316274038,1
The 17 essential qualities of a team player,Book,"Maxwell, John C.",785274359,1
17th suspect,Book,"Patterson, James.",9780316274043 9780316412254 (large print),1
The 18th abduction,Book,"Patterson, James,",9780316420266 0316420263,1
19th century girls & women,Book,"Kalman, Bobbie, 1947-",0865054649 (pbk.)\0865054347,1
The 19th Christmas,Book,"Patterson, James,",9.78E+12,1
The 19th Wife,Book,"Ebershoff, David.",9780812974157  0812974158,1
20 steps to better soccer,Book,"Woog, Dan, 1953-",0737304677 (pbk.),1
"20,000 leagues under the sea",Book,"Verne, Jules,",,1
"20,000 leagues under the sea [and] Around the moon.",Book,"Verne, Jules, 1828-1905.",,1
"20,001 names for baby",Book,"Wallace, Carol, 1955-",380762277,1
The 20th century : [an illustrated history of our lives and times],Book,,1572152745 (bronze) 1572152737 (gold),1
20th century science & technology,Book,"Parker, Steve.",0836829476 (v. 6)\0836829468 (v. 5)\0836829425 (v. 1)\083682945X (v. 4)\0836829441 (v. 3)\0836829433 (v. 2),1
The 20th victim,Book,"Patterson, James,",9.78E+12,1
The 21 irrefutable laws of leadership : follow them and people will follow you,Book,"Maxwell, John C.,",9780785288374 0785288376,1
21st birthday,Book,"Patterson, James,",9780316499347 031649934X,1
The 22 immutable laws of branding : how to build a product or service into a world-class brand,Book,"Ries, Al.",887309372,1
